Black Soldiers Mattered--Hudson--Unit names and descriptive information																																				
																																				
Unique Unit ID	Service Location	Broad Type of Unit	Type of Unit	Combat Division	Combat Brigade & Field Artillery	Camp Organized	When Unit Organized	Location * This will be available on the reference spreadsheet	Unit Location changed	When Unit change camps	Port of Embarkation	When Unit Embarked	Where Unit Served--SOS	"Where Unit Served--""Army"" troops"	Description of Unit Responsibilities	Unusual Unit Experiences	Demobilized When	Demobilized Where	Interpretive Assistance**for me	Companies																
829 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-06	Camp Shelby																		
830 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Gordon																		
831 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Jackson																		
832 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-06	Camp Lee																		
833 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-05	Camp Jackson																		
834 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Upton																		
835 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-03	Camp Jackson																		
836 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Jackson																		
837 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Jackson																		
841 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Lee																		
842 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Lee																		
845 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Shelby																		
847 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1918-12								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Gordon																		
849 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Dix																		
851 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1918-11								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-04	Camp Upton																		
856 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1919-01								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Lee																		
858 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1919-01								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Lee																		
859 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1919-01								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-08	Camp Lee																		
860 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1919-01								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Dix																		
863 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1919-01								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-10	Camp Dix																		
865 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1918-12								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-08	Camp Dix																		
866 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1918-12								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Alexander																		
867 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1918-12								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Upton																		
874 Co TC	France	Transportation Corps	Transportation Companies part of Transp Corp			AEF	1919-02								"The Transportation Corps were stevedore companies responsible for loading and unloading the vast war materials that arrived at the ports of Brest, St. Nazaire, Bordeaux, Havre, and Marseilles. Each company had 250 African American soldiers and three white officers. "		1919-07	Camp Upton																		
Misc Overseas																			Misc Overseas																	
Vet Hosp 20 VC	France	Misc. Overseas	Veterinary Hospital			Camp Lee	1918-09				Newport News	1918-10					1919-06	Camp Lee																		
Camp Hosp 43	France	Misc. Overseas	Camp Hospital			AEF	1918-05						YES				1919-09	Overseas																		
Camp Hosp 55	France	Misc. Overseas	Camp Hospital			AEF	1918-01						YES				1919-05	Overseas																		
Hospital Corps Camp McGrath Philippines	Philippines	Misc. Overseas	Hospital Corps			Camp McGrath													"Hospital Corps, Camp McGrath Philippines"																	
MD Unassigned Camp Stotsenburg Philippines 	Philippines	Misc. Overseas	Medical Department			Camp Stotsenburg													"Medical Department Unassigned, Camp Stotsenburg, Philippines "																	
Dep Labor Co 15 ASC	France	Misc. Overseas	Depot Labor and Service Company-Army Service Corps			AEF	1918-10						YES		"Order of Battle list these units under ""Special and Technical Units"" of the Army Service Corps"		1919-06	Overseas																		
Dep Labor Co 26 ASC	France	Misc. Overseas	Depot Labor and Service Company-Army Service Corps			AEF	1918-11								"Order of Battle list these units under ""Special and Technical Units"" of the Army Service Corps"		1919-06	Overseas																		
Dep Labor Co 27 ASC	France	Misc. Overseas	Depot Labor and Service Company-Army Service Corps			AEF	1918-11								"Order of Battle list these units under ""Special and Technical Units"" of the Army Service Corps"		1919-06	Overseas																		
Dep Labor Co 29 ASC 	France	Misc. Overseas	Depot Labor and Service Company-Army Service Corps			AEF	1918-11								"Order of Battle list these units under ""Special and Technical Units"" of the Army Service Corps"		1919-06	Overseas																		
Dep Labor Co 30 ASC	France	Misc. Overseas	Depot Labor and Service Company-Army Service Corps			AEF	1918-11								"Order of Battle list these units under ""Special and Technical Units"" of the Army Service Corps"		1919-07	Overseas																		
Dep Labor Co ASC	France	Misc. Overseas	Depot Labor and Service Company-Army Service Corps			AEF									"Order of Battle list these units under ""Special and Technical Units"" of the Army Service Corps"																					
2nd Band ASC	France	Misc. Overseas	"2nd Band, Army Service Corps"			AEF														Need to research this																
St Aignan Cas Co	France	Misc. Overseas	Casual Company			St. Aignan									"known as ""Saint Agony"" replacement depot in France"																					
Gas & Oil Branch APO 784	France	Misc. Overseas	Gas and Oil Branch			AEF																														
Bkry Co 426	France	Misc. Overseas	Bakery Company			AEF	1918-11								Order of Battle list as Quartermaster Corp Special and Technical Units		1918-12																			
Tng School for San Tr 1 Dep Division	France	Misc. Overseas	Training School for Sanitary Troops			AEF																														
1 Dep Div AEF	France	Misc. Overseas	Depot  			AEF																														
Class Cp 1 Repl Dep AEF	France	Misc. Overseas	Replacement Depot			AEF																														
Div 1 Troop Tn Meal Serv Det	France	Misc. Overseas	Troop Train Meal Service Detachment			AEF														Research																
Hq Garden Serv Repl Dep	France	Misc. Overseas	Garden Service Replacement Depot			AEF													Headquarters Garden Service Replacement Department																	
Tr Tn Meal Serv	France	Misc. Overseas	Troop Train Meal Service Detachment			AEF														Research																
A. Depot Brigade																			Depot Brigade																	
51 Dep Brig	Domestic	Depot Brigade	Depot Brigade 			Camp Greene	1917-11										1918-01	Camp Greene																		
53 Dep Brig	Domestic	Depot Brigade	Depot Brigade 			Camp Hancock	1917-09										1917-11	Camp Hancock																		
64 Dep Brig	Domestic	Depot Brigade	Depot Brigade 			unknown																														
150 Dep Brig	Domestic	Depot Brigade	Depot Brigade 			unknown																														
151 Dep Brig	Domestic	Depot Brigade	Depot Brigade 			Camp Devens	1917-08										1919-05	Camp Devens																		
152 Dep Brig	Domestic	Depot Brigade	Depot Brigade 			Camp Upton	1917-08										1919-05	Camp Upton																		
153 Dep Brig	Domestic	Depot Brigade	Depot Brigade 			Camp Dix	1917-08										1919-05	Camp Dix																		
154 Dep Brig	Domestic	Depot Brigade	Depot Brigade 			Camp Meade	1917-09										1919-05	Camp Meade																		
155 Dep Brig	Domestic	Depot Brigade	Depot Brigade 			Camp Lee	1917-09										1919-05	Camp Lee																		
156 Dep Brig	Domestic	Depot Brigade	Depot Brigade 			Camp Jackson	1917-09										1919-05	Camp Jackson																		
157 Dep Brig	Domestic	Depot Brigade	Depot Brigade 			Camp Gordon	1917-09		Camp McClellan; Camp Gordon	1918-09; 1918-12							1919-05	Camp Gordan																		
158 Dep Brig	Domestic	Depot Brigade	Depot Brigade 			Camp Sherman	1917-08										1919-05	Camp Sherman																		
159 Dep Brig	Domestic	Depot Brigade	Depot Brigade 			Camp Taylor	1917-08										1919-05	Camp Taylor																		
160 Dep Brig	Domestic	Depot Brigade	Depot Brigade 			Camp Custer	1917-09										1919-05	Camp Custer																		
161 Dep Brig	Domestic	Depot Brigade	Depot Brigade 			Camp Grant	1917-08										1919-05	Camp Grant																		
162 Dep Brig	Domestic	Depot Brigade	Depot Brigade 			Camp Pike	1917-08										1919-05	Camp Pike																		
163 Dep Brig	Domestic	Depot Brigade	Depot Brigade 			Camp Dodge	1917-08										1919-05	Camp Dodge																		
164 Dep Brig	Domestic	Depot Brigade	Depot Brigade 			Camp Funston	1917-09										1919-05	Camp Funston																		
A. Reserve Labor Battalions																			Reserve Labor Battalions																	
403 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Wheeler	1918-06										1919-03	Camp Wheeler																		
404 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Hill	1918-07										1919-08	Camp Hill		"A, B, C"																
407 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Lee	1918-08										1919-09	Camp Lee		"B, D"																
408 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Jackson	1918-07										1919-07	Camp Jackson		D																
411 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Taylor	1918-08										1919-09	Camp Taylor		"B, C"																
413 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Dix	1918-08										1919-07	Camp Dix		"A, B, C, D"																
416 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Grant	1918-07										1919-05	Camp Grant		B																
417 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Meade	1918-09										1919-06	Camp Meade		"A, B, C, D"																
418 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Sherman	1918-08										1919-09	Camp Sherman		A																
422 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Wadsworth	1918-08										1919-03	Camp Wadsworth		"A, D, Hq, 1 Prov Co."																
423 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Greene	1918-08										1919-03	Camp Greene		"A, B, C, D"																
424 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Governors Island	1918-08										1919-05	 Governors Island		"A, B, C, Hq"																
426 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Sevier	1918-08										1919-03	Camp Sevier		"B, C, D, Brky Co."																
427 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Mills	1918-09										1919-09	Camp Mills		D																
428 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Port Newark	1918-08										1919-03	Camp Merritt		B																
429 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Alexander	1918-09										1919-01	Camp Alexander		"A, C,D"																
430 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Alexander	1918-09										1919-03	Camp Alexander		"A, C, D"																
431 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Eustis	1918-08		Camp Upton	1919-01							1919-10	Camp Upton		D																
432 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Holabird	1918-09										1919-03	Camp Holabird		A																
433 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Hancock	1918-09										1919-01	Camp Hancock		"C, D"																
441 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Polk	1918-10										1919-04	Camp Polk		"A, B, C"																
442 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Knox	1918-10										1919-05	Camp Knox		A																
444 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Pisgah Forest	1918-10		Camp Sevier	1918-12						Organized originally as 328 Labor Battalion in 1918-03 at Camp Jackson.  Move to Pisgah Forrest in 1918-06 and become inactive.  Reformed into two units: new 328 Labor Battalion 1918-09 at Camp Alexander and served in France via Newport News in 1918-10; the other was this reserve labor battalion	1919-01	Camp Sevier		"B, D"																
446 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Mills	1918-10										1919-06	Camp Mills		"B, C, D"																
447 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Humphreys	1918-11										1919-04	Camp Humphreys		B																
448 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Custer	1918-10										1919-07	Camp Custer		C																
449 Res Labor Bn	Domestic	Reserve Labor Battalions	Reserve Labor Battalions			Camp Alexander	1918-10										1919-01	Camp Alexander		B																
A. Development Battalions &  Receiving Units																			Development Battalions & Receiving Units																	
Rct Camp 1 Camp Greene	Domestic	Receiving Unit	Receiving Unit			Camp Greene																														
Rct Camp 3 Camp Greene	Domestic	Receiving Unit	Receiving Unit			Camp Greene																														
Rct Camp 5 Camp Greene	Domestic	Receiving Unit	Receiving Unit			Camp Greene																														
Rct Camp Greene	Domestic	Receiving Unit	Receiving Unit			Camp Greene																														
Rct Co Inf Camp Greene	Domestic	Receiving Unit	Receiving Unit			Camp Greene																														
Rct Camp Johnston	Domestic	Receiving Unit	Receiving Unit			Camp Johnston																														
2 Dev Bn Camp Greene	Domestic	Development Battalion	Development Battalion in a Depot Brigrade			Camp Greene																														
1 Dev Bn Camp Taylor	Domestic	Development Battalion	Development Battalion in a Depot Brigrade			Camp Taylor	1918-06									Part of 159th Depot Brigrade	1918-11	Camp Taylor																		
2 Dev Bn Camp Taylor	Domestic	Development Battalion	Development Battalion in a Depot Brigrade			Camp Taylor	1918-08									Part of 159th Depot Brigrade	1918-11	Camp Taylor																		
3 Dev Bn Camp Grant	Domestic	Development Battalion	Development Battalion in a Depot Brigrade			Camp Grant	1918-09									Part of 161st Depot Brigrade	1919-01	Camp Grant																		
5 Dev Bn Camp Grant	Domestic	Development Battalion	Development Battalion in a Depot Brigrade			Camp Grant	1918-09									Part of 161st Depot Brigrade	1919-02	Camp Grant																		
7 Dev Bn Camp Grant	Domestic	Development Battalion	Development Battalion in a Depot Brigrade			Camp Grant	1918-09									Part of 161st Depot Brigrade	1919-02	Camp Grant																		
1 Dev Bn Camp Meade	Domestic	Development Battalion	Development Battalion in a Depot Brigrade			Camp Meade	1918-09									Part of 154th Depot Brigrade	1918-12	Camp Meade																		
Prov Dep Bn Camp Sevier	Domestic	Development Battalion	Provisional Development Battalion			Camp Sevier																														
2 Dev Bn Camp Humphreys	Domestic	Development Battalion	Development Battalion			Camp Humphreys																														
Dev Bn Camp Alexander 	Domestic	Development Battalion	Development Battalion in a Reserve Depot Brigrade			Camp Alexander																														
3 Prov Dev Regt	Domestic	Development Battalion	Provisional Development Regiment in a Depot Brigrade			Camp Jackson																														
B. Domestic Versions of Overseas Service Units																			Domestic Versions of Overseas Service Units																	
553 Engrs Serv Bn	Domestic	Domestic Version of Overseas Unit	Engineer Service Battalion			Camp Humphreys	1918-10										1919-01	Camp Humphreys		B																
304 Stev Regt	Domestic	Domestic Version of Overseas Unit	Training Stevedore Regiment			Camp Hill	1917-10								Training regiment		1919-02	Camp Hill		"A, B, C, D, G, K, Sup Co."																
6 Pion Inf	Domestic	Domestic Version of Overseas Unit	Pioneer Infantry Regiment			Camp Sherman	1918-10								Commanded by Captain J.B. Babcock		1919-02	Camp Sherman		"B, C, D, F"																
60 Pion Inf	Domestic	Domestic Version of Overseas Unit	Pioneer Infantry Regiment			Camp Wadsworth	1918-07										1919-01	Camp Wadsworth		D																
63 Pion Inf	Domestic	Domestic Version of Overseas Unit	Pioneer Infantry Regiment			Camp Dix	1918-10										1919-01	Camp Dix		"C, Hq"																
64 Pion Inf	Domestic	Domestic Version of Overseas Unit	Pioneer Infantry Regiment			Camp Taylor	1918-10										1919-02	Camp Taylor																		
810 Pion Inf	Domestic	Domestic Version of Overseas Unit	Pioneer Infantry Regiment			Camp Greene	1918-09								Commanded by Colonel W.A. Kent		1919-12	Camp Greene		"A, B, C, D, E, H, I, K, l, Sup Co., Hq, Med Det, MD"																
812 Pion Inf	Domestic	Domestic Version of Overseas Unit	Pioneer Infantry Regiment			Camp Grant	1918-08		Camp Merritt	1918-11					Commanded by Colonel F. Chamberlain		1919-01	Camp Grant		"A, G"																
349 Labor Bn	Domestic	Domestic Version of Overseas Unit	Service (Labor) Battalions			Camp Greene	1918-09		Charleston	1918-11							1919-04	Charleston		"A, B, C, D"																
350 Labor Bn	Domestic	Domestic Version of Overseas Unit	Service (Labor) Battalions			Camp Greene	1918-10										1919-03	Camp Greene		"C, Hq"																
355 Labor Bn	Domestic	Domestic Version of Overseas Unit	Service (Labor) Battalions			Camp Alexander	1918-10		New Cumberland	1918-12							1919-04	New Cumberland		"A, B, D"																
B. Specialized Replacement Training Units																			Replacement Training Center Unit TOTALS																	
FA Repl Dep Camp Jackson	Domestic	Specialized Replacement Training	Field Artillary Replacement Depot			Camp Jackson	1918-08																													
Inf Repl & Tng Camp Grant	Domestic	Specialized Replacement Training	Infantry Replacement and Training Camp			Camp Grant	1918-09																													
Inf Repl & Tng Camp Lee	Domestic	Specialized Replacement Training	Infantry Replacement and Training Camp			Camp Lee	1918-06										1919-01																			
7 Prov Tng Gr MGTC	Domestic	Specialized Replacement Training	"Provisional Training Group, Machine Gun Training Center"			Camp Hancock											1919-01																			
6 Gr MTD MGTC	Domestic	Specialized Replacement Training	"Training Group, Main Training Depot, Machine Gun Training Center"			Camp Hancock																														
7 Gr MTD MGTC	Domestic	Specialized Replacement Training	"Training Group, Main Training Depot, Machine Gun Training Center"			Camp Hancock																														
MTD MGTC	Domestic	Specialized Replacement Training	"Main Training Depot, Machine Gun Training Center"			Camp Hancock																														
Rct Receiving Dep MGTC	Domestic	Specialized Replacement Training	"Recruit Receiving Depot, Machine Gun Training Center"			Camp Hancock																														
5 Regt Engrs	Domestic	Specialized Replacement Training	Engineer Training Regiment			Camp Humphreys	1918-08																													
Fla A & M College Tng Det	Domestic	Specialized Replacement Training	Training Detachment			Florida Agricultural and Mechanical College																														
A&T College Tng Det	Domestic	Specialized Replacement Training	Training Detachment			Negro Agricultural and Technical College																														
CA School Ft Monroe	Domestic	Specialized Replacement Training	Coastal Artillery School			Fort Monroe																														
MOTC Ft Des Moines	Domestic	Specialized Replacement Training	Medical Officers' Training Corps			Fort Des Moines																														
Repl Gr MD Camp Greenleaf	Domestic	Specialized Replacement Training	"Replacement Group, Medical Division"			Camp Greenleaf																														
B. General  Replacement Training Units																			Automatic Replacement Draft Unit TOTALS																	
Aug Auto Repl Draft Camp Dix	Domestic	General Replacement	Automatic Replacement Draft			Camp Dix																														
Aug Auto Repl Draft Camp Merritt	Domestic	General Replacement	Automatic Replacement Draft			Camp Merritt																														
Aug Auto Repl Draft	Domestic	General Replacement	Automatic Replacement Draft			unknown																														
Feb Auto Repl Draft Camp Jackson	Domestic	General Replacement	Automatic Replacement Draft			Camp Jackson																														
April Auto Repl Draft Camp Lee	Domestic	General Replacement	Automatic Replacement Draft			Camp Lee																														
Aug Auto Repl Draft Camp Taylor	Domestic	General Replacement	Automatic Replacement Draft			Camp Taylor																														
Nov Auto Repl Draft Camp Lee	Domestic	General Replacement	Automatic Replacement Draft			Camp Lee																														
Sept Auto Repl Draft Camp Hancock	Domestic	General Replacement	Automatic Replacement Draft			Camp Hancock																														
Camp Grant Repl Draft	Domestic	General Replacement	Replacement Draft			Camp Grant																														
Camp Grant Reinf Draft Labor Bn	Domestic	General Replacement	Reinforcement Draft			Camp Grant																														
Camp Grant April Repl Draft Labor Bn	Domestic	General Replacement	Replacement Draft			Camp Grant																														
Camp Grant Reinf Draft Labor Bn Base Sec 1	Domestic	General Replacement	Reinforcement Draft			Camp Grant																														
B. Student Army Training Corps																			Student Army Training Corps																	
SATC  Biddle Univ Charlotte	Domestic	Student Army Training Corps	Student Army Training Corps			Biddle University	1918-10										1918-12	Biddle University																		
Fla A & M College Tallahassee	Domestic	Student Army Training Corps	Student Army Training Corps			Florida Agricultural and Mechanical College	1918-06										1918-08	Florida Agricultural and Mechanical College																		
SATC  Howard Univ	Domestic	Student Army Training Corps	Student Army Training Corps			Howard University	1918-05										1918-12	Howard University																		
SATC  Lincoln University	Domestic	Student Army Training Corps	Student Army Training Corps			Lincoln University												Lincoln University																		
SATC A&T College Greensboro	Domestic	Student Army Training Corps	Student Army Training Corps			Negro Agricultural and Technical College	1918-06										1918-12	Negro Agricultural and Technical College																		
SATC Shaw University Raleigh	Domestic	Student Army Training Corps	Student Army Training Corps			Shaw University	1918-10										1918-12	Shaw University																		
Med ERC SATC MeHarry Medical College	Domestic	Student Army Training Corps	"Student Army Training Corps, Medical Enlisted Reserve Corps"			MeHarry Medical College	1918-10										1918-12	MeHarry Medical College																		
SATC Tuskegee Institute	Domestic	Student Army Training Corps	Student Army Training Corps			Tuskegee Institute	1918-10										1918-12	Tuskegee																		
"C. Construction Co Aviation Sector, Signal Corp TOTALS"																			"Construction Co Aviation Sector, Signal Corp TOTALS"	Corps																
Casual Det AS	Domestic	Construction Company AS	"Casual Detachment, Aviation Sector, Air Service Signal Corp"			unknown																														
28 Const Co AS	Domestic	Construction Company AS	"Construction Company Aviation Sector, Signal Corps"			Fort Wayne	1918-04		Langley Field	1918-08							1918-12 	"Langley Field, VA"																		
29 Const Co AS	Domestic	Construction Company AS	"Construction Company Aviation Sector, Signal Corps"			Fort Wayne	1918-04		Langley Field	1918-08							1918-12 	"Langley Field, VA"																		
30 Const Co AS	Domestic	Construction Company AS	"Construction Company Aviation Sector, Signal Corps"			Fort Wayne	1918-04		Langley Field	1918-08							1918-12 	"Langley Field, VA"																		
34 Const Co AS	Domestic	Construction Company AS	"Construction Company Aviation Sector, Signal Corps"			Fort Wayne	1918-04		Langley Field	1918-07							1918-12 	"Langley Field, VA"																		
35 Const Co AS	Domestic	Construction Company AS	"Construction Company Aviation Sector, Signal Corps"			Fort Wayne	1918-04		Langley Field	1918-07							1918-12 	"Langley Field, VA"																		
36 Const Co AS	Domestic	Construction Company AS	"Construction Company Aviation Sector, Signal Corps"			Fort Wayne	1918-04		Langley Field	1918-07							1918-12 	"Langley Field, VA"																		
C. School for Bakers and Cooks																			School for Bakers and Cooks																	
School for Bakers & Cooks Camp Greene	Domestic	School for Bakers and Cooks	School for Bakers and Cooks			Camp Greene																														
School for Bakers & Cooks Camp Lee	Domestic	School for Bakers and Cooks	School for Bakers and Cooks			Camp Lee																														
School for Bakers & Cooks Camp Meade	Domestic	School for Bakers and Cooks	School for Bakers and Cooks			Camp Meade																														
School for Bakers & Cooks Camp Upton	Domestic	School for Bakers and Cooks	School for Bakers and Cooks			Camp Upton																														
C. Hospitals--Medical Division--Santitary Corp Unit TOTALS																			Hospitals--Medical Division--Santitary Corp Unit TOTALS																	
US Gen Hosp 42 Spartanburg	Domestic	Medical & Sanitary Corps	Military Hospital in the US: General Hospital			Camp Wadsworth	1917-10									Origianlly a Base Hospital at Camp Wadsworth; 1919-03-18 designated General Hospital 42 Spartanburg	1919-09	Camp Wadsworth																		
US Gen Hosp 31 Carlisle	Domestic	Medical & Sanitary Corps	Military Hospital in the US: General Hospital			Carlisle Barracks	1918-09										1919-12	"Carlisle, PA"	USA General Hospital 31 Carlisle																	
Walter Reed GH	Domestic	Medical & Sanitary Corps	Military Hospital in the US: General Hospital			Walter Reed General Hospital	1917-04										1919-12	Walter Reed General Hospital																		
Base Hosp Camp Merritt	Domestic	Medical & Sanitary Corps	Military Hospital in the US: Embarkation Hospital			Dumont	1918-12									connected with Hoboken	1919-12	"Dumont, NJ"	"USA Base Hospital, Camp Merritt"																	
